linename,station,weekdate_2022,weekend_am_2022,weekend_pm_2022,weekday_am_2022,weekday_pm_2022,week,weekdate_bl,weekend_am_bl,weekend_pm_bl,weekday_am_bl,weekday_pm_bl,d_weekend_am,d_weekend_pm,d_weekday_am,d_weekday_pm,lat,lon
3,JUNIUS ST,2022-03-07T00:00:00Z,177,213,2677,1572,10,2019-03-11T00:00:00Z,289,455,2813,2373,0.6124567474048442,0.46813186813186813,0.9516530394596516,0.6624525916561315,40.663589,-73.90244864
R,BAY RIDGE AV,2022-04-18T00:00:00Z,1,0,4274,2727,16,2019-04-22T00:00:00Z,870,1822,8194,5572,0.0011494252873563218,0,0.5216011715889676,0.4894113424264178,40.63496667,-74.023377
ACG,HOYT-SCHER,2022-03-28T00:00:00Z,140,923,1520,8444,13,2019-04-01T00:00:00Z,331,4460,3194,20670,0.4229607250755287,0.2069506726457399,0.47589229805886035,0.408514755684567,40.68840848,-73.98503624
4,BURNSIDE AV,2022-03-14T00:00:00Z,837,1092,7490,4702,11,2019-03-18T00:00:00Z,1525,2230,14379,10741,0.5488524590163935,0.4896860986547085,0.520898532582238,0.43776184712782795,40.853453,-73.907684
BD,BEDFORD PK BLVD,2022-02-07T00:00:00Z,556,556,6174,2655,6,2020-02-10T00:00:00Z,1114,1288,12022,5291,0.4991023339317774,0.43167701863354035,0.5135584761271003,0.5017955017955018,40.873244,-73.887138
4,FORDHAM RD,2022-03-21T00:00:00Z,917,1275,7424,5320,12,2019-03-25T00:00:00Z,1662,2671,11988,10871,0.5517448856799038,0.4773493073755148,0.619285952619286,0.489375402446877,40.862803,-73.901034
F,57 ST,2022-03-07T00:00:00Z,135,847,629,12144,10,2019-03-11T00:00:00Z,1127,5373,2527,30494,0.11978704525288376,0.15764005211241391,0.2489117530668777,0.3982422771692792,40.764085,-73.977368
F,2 AV,2022-03-21T00:00:00Z,170,1176,1703,9195,12,2019-03-25T00:00:00Z,423,3412,6392,23587,0.40189125295508277,0.34466588511137164,0.26642678347934917,0.38983338279560775,40.72340167,-73.989938
A,INWOOD-207 ST,2022-04-18T00:00:00Z,989,1023,6468,2852,16,2019-04-22T00:00:00Z,4113,3726,18164,6413,0.24045708728422077,0.2745571658615137,0.3560889671878441,0.4447216591298924,40.868072,-73.919899
2,WAKEFIELD/241,2022-04-11T00:00:00Z,619,508,4887,1746,15,2019-04-15T00:00:00Z,1064,1035,9247,3709,0.581766917293233,0.49082125603864735,0.5284957283443279,0.4707468320301968,40.903125,-73.85062
