linename,station,weekdate,week,weekend,weekday_am,weekday_pm
25,FREEMAN ST,2022-05-09T00:00:00Z,19,,5336,1609
25,GUN HILL RD,2022-05-02T00:00:00Z,18,3237,6273,2419
25,GUN HILL RD,2022-05-09T00:00:00Z,19,,6719,2458
25,INTERVALE AV,2022-05-02T00:00:00Z,18,1543,2883,930
25,INTERVALE AV,2022-05-09T00:00:00Z,19,,3111,1284
25,JACKSON AV,2022-05-02T00:00:00Z,18,2737,5200,1829
25,JACKSON AV,2022-05-09T00:00:00Z,19,,5807,1943
25,NEREID AV,2022-05-02T00:00:00Z,18,1355,4291,1268
25,NEREID AV,2022-05-09T00:00:00Z,19,,4648,1241
25,NEWKIRK AV,2022-05-02T00:00:00Z,18,2940,8822,1848
25,NEWKIRK AV,2022-05-09T00:00:00Z,19,,9346,1916
25,PELHAM PKWY,2022-05-02T00:00:00Z,18,2746,7175,3068
25,PELHAM PKWY,2022-05-09T00:00:00Z,19,,7324,3277
25,PRESIDENT ST,2022-05-02T00:00:00Z,18,1288,1793,1911
25,PRESIDENT ST,2022-05-09T00:00:00Z,19,,1932,1919
25,PROSPECT AV,2022-05-02T00:00:00Z,18,3684,5592,2535
25,PROSPECT AV,2022-05-09T00:00:00Z,19,,6849,2668
25,SIMPSON ST,2022-05-02T00:00:00Z,18,4099,7288,3170
25,SIMPSON ST,2022-05-09T00:00:00Z,19,,7809,3405
25,STERLING ST,2022-05-02T00:00:00Z,18,2409,3036,2502
25,STERLING ST,2022-05-09T00:00:00Z,19,,3274,2644
25,WEST FARMS SQ,2022-05-02T00:00:00Z,18,2899,5691,2353
25,WEST FARMS SQ,2022-05-09T00:00:00Z,19,,5966,2560
25,WINTHROP ST,2022-05-02T00:00:00Z,18,2241,5582,3427
25,WINTHROP ST,2022-05-09T00:00:00Z,19,,5833,3441
3,145 ST,2022-05-02T00:00:00Z,18,1420,2116,1576
3,145 ST,2022-05-09T00:00:00Z,19,,2094,1633
3,HARLEM 148 ST,2022-05-02T00:00:00Z,18,1545,2402,1666
3,HARLEM 148 ST,2022-05-09T00:00:00Z,19,,2329,1328
3,JUNIUS ST,2022-05-02T00:00:00Z,18,1122,1673,1334
3,JUNIUS ST,2022-05-09T00:00:00Z,19,,1799,1460
3,KINGSTON AV,2022-05-02T00:00:00Z,18,1780,2105,2486
3,KINGSTON AV,2022-05-09T00:00:00Z,19,,2220,2360
3,NEW LOTS AV,2022-05-02T00:00:00Z,18,2313,5165,2192
3,NEW LOTS AV,2022-05-09T00:00:00Z,19,,5393,2154
3,NOSTRAND AV,2022-05-02T00:00:00Z,18,1729,1530,2080
3,NOSTRAND AV,2022-05-09T00:00:00Z,19,,1643,2187
3,PENNSYLVANIA AV,2022-05-02T00:00:00Z,18,2259,3551,1945
3,PENNSYLVANIA AV,2022-05-09T00:00:00Z,19,,3546,2111
3,ROCKAWAY AV,2022-05-02T00:00:00Z,18,2009,3862,1753
3,ROCKAWAY AV,2022-05-09T00:00:00Z,19,,4005,1721
3,SARATOGA AV,2022-05-02T00:00:00Z,18,1973,5074,1634
3,SARATOGA AV,2022-05-09T00:00:00Z,19,,5194,1692
3,SUTTER AV-RUTLD,2022-05-02T00:00:00Z,18,2803,5868,2377
3,SUTTER AV-RUTLD,2022-05-09T00:00:00Z,19,,5676,2462
3,VAN SICLEN AV,2022-05-02T00:00:00Z,18,1155,2566,767
3,VAN SICLEN AV,2022-05-09T00:00:00Z,19,,2681,810
34,CROWN HTS-UTICA,2022-05-02T00:00:00Z,18,10665,19205,9043
34,CROWN HTS-UTICA,2022-05-09T00:00:00Z,19,,20288,9641
4,167 ST,2022-05-02T00:00:00Z,18,4627,7356,3793
4,167 ST,2022-05-09T00:00:00Z,19,,7951,4041
4,170 ST,2022-05-02T00:00:00Z,18,4225,6193,3788
4,170 ST,2022-05-09T00:00:00Z,19,,6578,3876
4,176 ST,2022-05-02T00:00:00Z,18,2566,4060,2467
4,176 ST,2022-05-09T00:00:00Z,19,,4412,2492
4,183 ST,2022-05-02T00:00:00Z,18,3446,5435,2337
4,183 ST,2022-05-09T00:00:00Z,19,,5660,2400
4,BEDFORD PK BLVD,2022-05-02T00:00:00Z,18,2386,3722,2730
4,BEDFORD PK BLVD,2022-05-09T00:00:00Z,19,,3836,3211
