id,datetime,entries,station,linename,lat,lon
A043_R462_00-06-02,2022-04-29T21:00:00Z,7661644,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-00-00,2022-04-29T21:00:00Z,4316485,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-00-01,2022-04-29T21:00:00Z,9206839,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-00-02,2022-04-29T21:00:00Z,10099565,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-00-03,2022-04-29T21:00:00Z,346668,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-03-00,2022-04-29T21:00:00Z,9746309,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-03-01,2022-04-29T21:00:00Z,13531217,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-05-00,2022-04-29T21:00:00Z,7858,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-05-02,2022-04-29T21:00:00Z,152,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-06-00,2022-04-29T21:00:00Z,1800406,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-06-01,2022-04-29T21:00:00Z,715380,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-06-02,2022-04-29T21:00:00Z,1659131,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-06-03,2022-04-29T21:00:00Z,51162910,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-06-04,2022-04-29T21:00:00Z,4544617,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-06-05,2022-04-29T21:00:00Z,804297,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-06-06,2022-04-29T21:00:00Z,102909547,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-06-07,2022-04-29T21:00:00Z,5057973,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A046_R463_00-06-08,2022-04-29T21:00:00Z,1758298,CANAL ST,JNQRZ6W,40.71817388,-73.99982639
A047_R087_00-00-00,2022-04-29T20:00:00Z,74761,CITY HALL,NRW,40.71327233,-74.00698582
A047_R087_00-00-01,2022-04-29T20:00:00Z,2760404,CITY HALL,NRW,40.71327233,-74.00698582
A047_R087_00-00-02,2022-04-29T20:00:00Z,7501759,CITY HALL,NRW,40.71327233,-74.00698582
A047_R087_00-03-00,2022-04-29T20:00:00Z,6019918,CITY HALL,NRW,40.71327233,-74.00698582
A047_R087_00-03-01,2022-04-29T20:00:00Z,928250,CITY HALL,NRW,40.71327233,-74.00698582
A047_R087_00-03-02,2022-04-29T20:00:00Z,6543231,CITY HALL,NRW,40.71327233,-74.00698582
A047_R087_00-06-00,2022-04-29T20:00:00Z,118819242,CITY HALL,NRW,40.71327233,-74.00698582
A047_R087_00-06-01,2022-04-29T20:00:00Z,310871,CITY HALL,NRW,40.71327233,-74.00698582
A047_R087_00-06-02,2022-04-29T20:00:00Z,766211,CITY HALL,NRW,40.71327233,-74.00698582
A049_R088_02-00-00,2022-04-29T21:00:00Z,957890,CORTLANDT ST,RNW,40.71051298,-74.01113196
A049_R088_02-00-01,2022-04-29T21:00:00Z,1051343,CORTLANDT ST,RNW,40.71051298,-74.01113196
A049_R088_02-00-02,2022-04-29T21:00:00Z,55159,CORTLANDT ST,RNW,40.71051298,-74.01113196
A049_R088_02-00-03,2022-04-29T21:00:00Z,872691419,CORTLANDT ST,RNW,40.71051298,-74.01113196
A049_R088_02-01-00,2022-04-29T21:00:00Z,1125504,CORTLANDT ST,RNW,40.71051298,-74.01113196
A049_R088_02-01-01,2022-04-29T21:00:00Z,384801,CORTLANDT ST,RNW,40.71051298,-74.01113196
A049_R088_02-01-02,2022-04-29T21:00:00Z,1946523,CORTLANDT ST,RNW,40.71051298,-74.01113196
A049_R088_02-03-00,2022-04-29T21:00:00Z,1898720,CORTLANDT ST,RNW,40.71051298,-74.01113196
A049_R088_02-03-01,2022-04-29T21:00:00Z,127136,CORTLANDT ST,RNW,40.71051298,-74.01113196
A049_R088_02-03-02,2022-04-29T21:00:00Z,1389777,CORTLANDT ST,RNW,40.71051298,-74.01113196
A049_R088_02-03-03,2022-04-29T21:00:00Z,1565645,CORTLANDT ST,RNW,40.71051298,-74.01113196
A049_R088_02-05-00,2022-04-29T21:00:00Z,1058663881,CORTLANDT ST,RNW,40.71051298,-74.01113196
A050_R088_00-00-00,2022-04-29T21:00:00Z,16689,CORTLANDT ST,RNW,40.71051298,-74.01113196
A050_R088_00-00-01,2022-04-29T21:00:00Z,4094827,CORTLANDT ST,RNW,40.71051298,-74.01113196
A050_R088_00-02-00,2022-04-29T21:00:00Z,3830001,CORTLANDT ST,RNW,40.71051298,-74.01113196
A050_R088_00-02-01,2022-04-29T21:00:00Z,754977,CORTLANDT ST,RNW,40.71051298,-74.01113196
A050_R088_00-03-00,2022-04-29T21:00:00Z,230916,CORTLANDT ST,RNW,40.71051298,-74.01113196
A050_R088_00-03-01,2022-04-29T21:00:00Z,10797961,CORTLANDT ST,RNW,40.71051298,-74.01113196
A050_R088_00-03-02,2022-04-29T21:00:00Z,9126,CORTLANDT ST,RNW,40.71051298,-74.01113196
A050_R088_00-03-03,2022-04-29T21:00:00Z,1730051,CORTLANDT ST,RNW,40.71051298,-74.01113196
A050_R088_00-05-00,2022-04-29T21:00:00Z,711937,CORTLANDT ST,RNW,40.71051298,-74.01113196
A050_R088_00-05-01,2022-04-29T21:00:00Z,9257,CORTLANDT ST,RNW,40.71051298,-74.01113196
A050_R088_00-05-02,2022-04-29T21:00:00Z,1725428,CORTLANDT ST,RNW,40.71051298,-74.01113196
A050_R088_00-05-03,2022-04-29T21:00:00Z,789154,CORTLANDT ST,RNW,40.71051298,-74.01113196
A052_R088_01-00-00,2022-04-29T21:00:00Z,308445,CORTLANDT ST,RNW,40.71051298,-74.01113196
A052_R088_01-00-01,2022-04-29T21:00:00Z,206267,CORTLANDT ST,RNW,40.71051298,-74.01113196
